POAexemptCode,Description
S12.550G,"Other traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.550K,"Other traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.550S,"Other traumatic displaced spondylolisthesis of sixth cervical vertebra, sequela"
S12.551D,"Other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.551G,"Other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.551K,"Other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.551S,"Other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, sequela"
S12.590D,"Other displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.590G,"Other displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.590K,"Other displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.590S,"Other displaced fracture of sixth cervical vertebra, sequela"
S12.591D,"Other nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing"
S12.591G,"Other nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.591K,"Other nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with nonunion"
S12.591S,"Other nondisplaced fracture of sixth cervical vertebra, sequela"
S12.600D,"Unspecified displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing"
S12.600G,"Unspecified displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.600K,"Unspecified displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with nonunion"
S12.600S,"Unspecified displaced fracture of seventh cervical vertebra, sequela"
S12.601D,"Unspecified nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing"
S12.601G,"Unspecified nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.601K,"Unspecified nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with nonunion"
S12.601S,"Unspecified nondisplaced fracture of seventh cervical vertebra, sequela"
S12.630D,"Unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing"
S12.630G,"Unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.630K,"Unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion"
S12.630S,"Unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, sequela"
S12.631D,"Unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing"
S12.631G,"Unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.631K,"Unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion"
S12.631S,"Unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, sequela"
S12.64XD,"Type III traumatic spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing"
S12.64XG,"Type III traumatic spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.64XK,"Type III traumatic spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion"
S12.64XS,"Type III traumatic spondylolisthesis of seventh cervical vertebra, sequela"
S12.650D,"Other traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing"
S12.650G,"Other traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.650K,"Other traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion"
S12.650S,"Other traumatic displaced spondylolisthesis of seventh cervical vertebra, sequela"
S12.651D,"Other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing"
S12.651G,"Other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.651K,"Other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion"
S12.651S,"Other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, sequela"
S12.690D,"Other displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing"
S12.690G,"Other displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.690K,"Other displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with nonunion"
S12.690S,"Other displaced fracture of seventh cervical vertebra, sequela"
S12.691D,"Other nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing"
S12.691G,"Other nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with delayed healing"
S12.691K,"Other nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with nonunion"
S12.691S,"Other nondisplaced fracture of seventh cervical vertebra, sequela"
S12.8XXD,"Fracture of other parts of neck, subsequent encounter"
S12.8XXS,"Fracture of other parts of neck, sequela"
S12.9XXD,"Fracture of neck, unspecified, subsequent encounter"
S12.9XXS,"Fracture of neck, unspecified, sequela"
S13.0XXD,"Traumatic rupture of cervical intervertebral disc, subsequent encounter"
S13.0XXS,"Traumatic rupture of cervical intervertebral disc, sequela"
S13.100D,"Subluxation of unspecified cervical vertebrae, subsequent encounter"
S13.100S,"Subluxation of unspecified cervical vertebrae, sequela"
S13.101D,"Dislocation of unspecified cervical vertebrae, subsequent encounter"
S13.101S,"Dislocation of unspecified cervical vertebrae, sequela"
S13.110D,"Subluxation of C0/C1 cervical vertebrae, subsequent encounter"
S13.110S,"Subluxation of C0/C1 cervical vertebrae, sequela"
S13.111D,"Dislocation of C0/C1 cervical vertebrae, subsequent encounter"
S13.111S,"Dislocation of C0/C1 cervical vertebrae, sequela"
S13.120D,"Subluxation of C1/C2 cervical vertebrae, subsequent encounter"
S13.120S,"Subluxation of C1/C2 cervical vertebrae, sequela"
S13.121D,"Dislocation of C1/C2 cervical vertebrae, subsequent encounter"
S13.121S,"Dislocation of C1/C2 cervical vertebrae, sequela"
S13.130D,"Subluxation of C2/C3 cervical vertebrae, subsequent encounter"
S13.130S,"Subluxation of C2/C3 cervical vertebrae, sequela"
S13.131D,"Dislocation of C2/C3 cervical vertebrae, subsequent encounter"
S13.131S,"Dislocation of C2/C3 cervical vertebrae, sequela"
S13.140D,"Subluxation of C3/C4 cervical vertebrae, subsequent encounter"
S13.140S,"Subluxation of C3/C4 cervical vertebrae, sequela"
S13.141D,"Dislocation of C3/C4 cervical vertebrae, subsequent encounter"
S13.141S,"Dislocation of C3/C4 cervical vertebrae, sequela"
S13.150D,"Subluxation of C4/C5 cervical vertebrae, subsequent encounter"
S13.150S,"Subluxation of C4/C5 cervical vertebrae, sequela"
S13.151D,"Dislocation of C4/C5 cervical vertebrae, subsequent encounter"
S13.151S,"Dislocation of C4/C5 cervical vertebrae, sequela"
S13.160D,"Subluxation of C5/C6 cervical vertebrae, subsequent encounter"
S13.160S,"Subluxation of C5/C6 cervical vertebrae, sequela"
S13.161D,"Dislocation of C5/C6 cervical vertebrae, subsequent encounter"
S13.161S,"Dislocation of C5/C6 cervical vertebrae, sequela"
S13.170D,"Subluxation of C6/C7 cervical vertebrae, subsequent encounter"
S13.170S,"Subluxation of C6/C7 cervical vertebrae, sequela"
S13.171D,"Dislocation of C6/C7 cervical vertebrae, subsequent encounter"
S13.171S,"Dislocation of C6/C7 cervical vertebrae, sequela"
S13.180D,"Subluxation of C7/T1 cervical vertebrae, subsequent encounter"
S13.180S,"Subluxation of C7/T1 cervical vertebrae, sequela"
S13.181D,"Dislocation of C7/T1 cervical vertebrae, subsequent encounter"
S13.181S,"Dislocation of C7/T1 cervical vertebrae, sequela"
S13.20XD,"Dislocation of unspecified parts of neck, subsequent encounter"
S13.20XS,"Dislocation of unspecified parts of neck, sequela"
S13.29XD,"Dislocation of other parts of neck, subsequent encounter"
S13.29XS,"Dislocation of other parts of neck, sequela"
S13.4XXD,"Sprain of ligaments of cervical spine, subsequent encounter"
S13.4XXS,"Sprain of ligaments of cervical spine, sequela"
S13.5XXD,"Sprain of thyroid region, subsequent encounter"
S13.5XXS,"Sprain of thyroid region, sequela"
S13.8XXD,"Sprain of joints and ligaments of other parts of neck, subsequent encounter"
S13.8XXS,"Sprain of joints and ligaments of other parts of neck, sequela"
S13.9XXD,"Sprain of joints and ligaments of unspecified parts of neck, subsequent encounter"
S13.9XXS,"Sprain of joints and ligaments of unspecified parts of neck, sequela"
S14.0XXD,"Concussion and edema of cervical spinal cord, subsequent encounter"
S14.0XXS,"Concussion and edema of cervical spinal cord, sequela"
S14.101D,"Unspecified injury at C1 level of cervical spinal cord, subsequent encounter"
S14.101S,"Unspecified injury at C1 level of cervical spinal cord, sequela"
S14.102D,"Unspecified injury at C2 level of cervical spinal cord, subsequent encounter"
S14.102S,"Unspecified injury at C2 level of cervical spinal cord, sequela"
S14.103D,"Unspecified injury at C3 level of cervical spinal cord, subsequent encounter"
S14.103S,"Unspecified injury at C3 level of cervical spinal cord, sequela"
S14.104D,"Unspecified injury at C4 level of cervical spinal cord, subsequent encounter"
S14.104S,"Unspecified injury at C4 level of cervical spinal cord, sequela"
